TIME_STAMPE,EPX_TRAJ_FRONTEND,EXP_TRAJ_OPT,GENERATE_EXP_TRAJ,BACK_TRAJ_FRONTEND,BACK_TRAJ_OPT,GENERATE_BACK_TRAJ,TOTAL_REPLAN,VISUALIZATION
19.8753, 0.00247962, 0.00199051, 0.00455546, 0.000917378, 0.00292937, 0.00388561, 0.00870499, 0.000376629
19.9444, 0.00240664, 0.0031787, 0.00566937, 0.00119187, 0.00381644, 0.00504892, 0.0109949, 0.000355349
20.0134, 0.00239132, 0.0024817, 0.00497086, 0.00140768, 0.00662888, 0.00808914, 0.0133505, 0.00045189
20.0735, 0.00177073, 0.0019256, 0.00377127, 0.000726129, 0.00207215, 0.00283265, 0.00684177, 0.000288379
20.141, 0.00175047, 0.00236886, 0.00418513, 0.000690219, 0.00252218, 0.00324346, 0.00763951, 0.000276919
20.2175, 0.00224234, 0.00811579, 0.0104407, 0.00114245, 0.00556136, 0.00674132, 0.0174428, 0.0003287
20.2752, 0.00216301, 0.002027, 0.00429063, 0.000755419, 0.00321712, 0.00400577, 0.00855048, 0.00034757
20.3436, 0.00156708, 0.00424322, 0.0059134, 0.000803079, 0.00326764, 0.00410991, 0.0102727, 0.00035397
20.4107, 0.00255985, 0.00299468, 0.00563394, 0.00124892, 0.0035055, 0.00479549, 0.010716, 0.00034354
20.4762, 0.00188392, 0.0037989, 0.00575487, 0.000818199, 0.0026358, 0.00349572, 0.00950705, 0.00031862
20.5418, 0.00150276, 0.00191218, 0.00349367, 0.00129035, 0.00343488, 0.0047633, 0.00849267, 0.00031015
20.6173, 0.00218181, 0.00547855, 0.00775183, 0.00148231, 0.00760557, 0.00914542, 0.0172161, 0.00036706
20.6767, 0.00244735, 0.00216678, 0.00468873, 0.000829818, 0.00415388, 0.00502541, 0.0100292, 0.00032584
20.7453, 0.00212548, 0.00694084, 0.00913924, 0.000981208, 0.00155612, 0.00256543, 0.0119248, 0.00033397
20.8107, 0.00182238, 0.00241505, 0.00432151, 0.00131897, 0.00466079, 0.00602539, 0.0106456, 0.000327548
20.8747, 0.00122224, 0.00162057, 0.00291773, 0.000977348, 0.00388268, 0.00489429, 0.00801253, 0.00032422
20.9462, 0.00143218, 0.00588003, 0.00739194, 0.000875179, 0.00429069, 0.00520409, 0.012871, 0.0003672
21.0122, 0.00159528, 0.00417804, 0.00586114, 0.0014126, 0.00449517, 0.00595457, 0.0121305, 0.00035687
21.0762, 0.00142759, 0.00182776, 0.00333795, 0.00107391, 0.00490223, 0.00601283, 0.00958668, 0.000357889
21.1403, 0.00141156, 0.00101923, 0.00249057, 0.000765929, 0.00343025, 0.00423448, 0.00696328, 0.0002839
21.2017, 0.00143992, 5.657e-05, 0.0015524, 0, 0, 0, 0.0017294, 0.00017929
21.2749, 0.00159365, 0.00219583, 0.00386037, 0.0007737, 0.00330237, 0.00410481, 0.00819825, 0.00029491
21.3396, 0.00137094, 0.000582129, 0.00201519, 0.000655859, 0.00334201, 0.00402798, 0.0062629, 0.00027885
21.4125, 0.00136192, 0.00628396, 0.0077447, 0.00117166, 0.00308009, 0.00429946, 0.0124821, 0.000340568
21.4733, 0.00118482, 0.00126002, 0.00252764, 0.000662619, 0.00317541, 0.00387326, 0.00661574, 0.000299899
21.5405, 0.00147564, 0.000843598, 0.0023892, 0.000905809, 0.00360665, 0.00454927, 0.0071762, 0.00027346
21.6065, 0.00133799, 0.000921108, 0.00232463, 0.000685879, 0.00319023, 0.00392774, 0.00651812, 0.00033529
21.6755, 0.00149688, 0.00248511, 0.00405441, 0.000831269, 0.00369658, 0.00456134, 0.00883171, 0.00034074
21.7416, 0.00144918, 0.00136239, 0.00289189, 0.00108939, 0.00405053, 0.0051746, 0.00830468, 0.00032401
21.8095, 0.00145682, 0.00239718, 0.00393471, 0.000904929, 0.00427713, 0.0052287, 0.00945179, 0.0003399
21.8728, 0.00152051, 0.00140644, 0.0029993, 0.000767528, 0.00213702, 0.00294033, 0.00617005, 0.000325109
21.9409, 0.00120957, 0.00186258, 0.00314613, 0.000699219, 0.00342708, 0.00415621, 0.00753928, 0.00029309
22.0069, 0.00160889, 0.00150525, 0.00319104, 0.000874198, 0.00238964, 0.00330718, 0.00679925, 0.000334628
22.0745, 0.00160217, 0.00162065, 0.00330156, 0.000645499, 0.00359305, 0.00427483, 0.00780734, 0.000308589
22.1421, 0.00204326, 0.00269689, 0.00482127, 0.000941059, 0.00278161, 0.00375307, 0.00879511, 0.00033127
22.2086, 0.00172575, 0.00313711, 0.00494169, 0.00101981, 0.00223573, 0.00329511, 0.00855328, 0.000351889
22.2771, 0.00162935, 0.00442718, 0.00613474, 0.00101295, 0.00299868, 0.00404959, 0.0104444, 0.000338399
22.3474, 0.00177907, 0.00871578, 0.010568, 0.000716859, 0.00247925, 0.00323353, 0.0140469, 0.00033853
22.408, 0.00202018, 0.00291939, 0.00501197, 0.000748109, 0.00185731, 0.00265051, 0.0080089, 0.00039178
22.4742, 0.00228477, 0.00188259, 0.00423467, 0.000656499, 0.00241083, 0.00309446, 0.00754294, 0.000327129
22.5414, 0.00163204, 0.00186701, 0.00355777, 0.000686598, 0.00355077, 0.00427199, 0.00803448, 0.000267139
22.6116, 0.00180958, 0.00415854, 0.00606242, 0.00138929, 0.00379197, 0.00521868, 0.0115353, 0.0003527
22.6694, 0, 0, 0.00257886, 0, 0, 0, 0.00270515, 3.9619e-05
22.7459, 0.00404145, 0.00433147, 0.00844585, 0.000994418, 0.00289059, 0.00391811, 0.0125763, 0.000379889
22.8171, 0.00427975, 0.00747019, 0.0118793, 0.001161, 0.00375836, 0.00496054, 0.0171087, 0.000515789
22.8784, 0.00430147, 0.00346254, 0.00783788, 0.000985658, 0.00259499, 0.00361648, 0.0117137, 0.00035682
22.9489, 0.00402821, 0.00513024, 0.0092401, 0.00151017, 0.0044065, 0.00596115, 0.0154516, 0.00044076
23.0175, 0.00469078, 0.00762566, 0.0124584, 0.00224775, 0.0022187, 0.00453414, 0.0173182, 0.000790059
23.0911, 0.00359378, 0.0160147, 0.0197081, 0.0012634, 0.00315081, 0.0044496, 0.0244071, 0.00037005
23.1429, 0.00181337, 0.00216778, 0.00405894, 0.000946189, 0.00426499, 0.00524465, 0.00953584, 0.00032261
23.2158, 0.00230699, 0.0041958, 0.00661346, 0.00148367, 0.00724466, 0.00877858, 0.0157441, 0.000506158
23.2777, 0.00218565, 0.00249036, 0.0047687, 0.00134322, 0.00456454, 0.00594009, 0.011038, 0.000380229
23.3502, 0.00182636, 0.0115084, 0.0134523, 0.000891788, 0.0022227, 0.0031497, 0.0168521, 0.000385459
23.4155, 0.00240575, 0.00331856, 0.00582136, 0.000896949, 0.0083789, 0.00931654, 0.0154048, 0.000393519
23.4953, 0.00215655, 0.0197777, 0.0220257, 0.000593109, 0.00573719, 0.00637144, 0.0286409, 0.00038678
23.5481, 0.00242081, 0.00703004, 0.00953419, 0.000579729, 0.00438482, 0.00499913, 0.0147645, 0.00034571
23.6145, 0.00212542, 0.00244391, 0.00464656, 0.000597419, 0.00886463, 0.00950699, 0.014421, 0.00037068
23.679, 0.00211838, 0.0027956, 0.00500793, 0.000645529, 0.00638216, 0.00707225, 0.0123306, 0.00031322
23.7425, 0.00270523, 0.000684069, 0.00345807, 0.000519029, 0.00488729, 0.00543693, 0.00911617, 0.00031977
