Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.00534965, 0.00154706, 0.00301956, 0.00202512, 88091, 14488, 407745
0.00623672, 0.0016512, 0.00362118, 0.00239353, 89137, 15043, 464325
0.0058624, 0.00178204, 0.00312154, 0.00211665, 91217, 14999, 501840
0.00644675, 0.00169565, 0.00388425, 0.00261983, 94996, 15986, 566169
0.00665736, 0.00169281, 0.00418623, 0.00287253, 90636, 16706, 572442
0.00686704, 0.00174811, 0.00415224, 0.00283155, 95157, 17877, 596550
0.00680529, 0.00173723, 0.00403552, 0.00275408, 93657, 18182, 591507
0.00684826, 0.00173204, 0.00412523, 0.00279157, 92579, 18038, 590154
0.00713013, 0.00183413, 0.00441636, 0.00295071, 94760, 18604, 616476
0.00740051, 0.00192936, 0.0045765, 0.00301609, 96249, 19126, 602946
0.00744748, 0.00210728, 0.00426803, 0.00285668, 98413, 19618, 601347
0.00719832, 0.00188456, 0.00453136, 0.00308691, 99103, 18935, 592737
0.00692689, 0.00200358, 0.00421429, 0.0028156, 101803, 19435, 619428
0.00713062, 0.00198932, 0.0041832, 0.00303571, 101391, 19608, 643536
0.0128294, 0.00188027, 0.00424651, 0.0066266, 100629, 17990, 1.35792e+06
0.00869388, 0.00182998, 0.00372577, 0.00436181, 100332, 16990, 1.01094e+06
0.00920677, 0.00186276, 0.00366527, 0.00472631, 94948, 17043, 1.04956e+06
0.00999377, 0.00190365, 0.0040573, 0.005258, 96260, 17928, 1.20589e+06
0.0103542, 0.00199789, 0.00418384, 0.00550568, 100670, 18967, 1.3439e+06
0.0129095, 0.00286514, 0.00459025, 0.00686003, 103910, 19562, 1.71081e+06
0.0106802, 0.00186007, 0.00426212, 0.00593336, 103414, 19635, 1.48117e+06
0.0119615, 0.00189371, 0.00414459, 0.00690063, 101134, 18910, 1.68547e+06
0.0136592, 0.00203033, 0.00369743, 0.00722103, 97653, 17376, 1.72065e+06
0.00936572, 0.00169602, 0.00421911, 0.00497772, 89885, 16512, 1.08572e+06
0.009562, 0.00164425, 0.00376272, 0.00511887, 87856, 15081, 1.06432e+06
0.00888637, 0.00172532, 0.00377723, 0.00453061, 88965, 14350, 1.04193e+06
0.00953863, 0.00169574, 0.00435194, 0.00510536, 96334, 14711, 1.15743e+06
0.0136794, 0.00174112, 0.00376051, 0.00732247, 98542, 14326, 1.71425e+06
0.00920261, 0.00175199, 0.0039808, 0.00491246, 99583, 14885, 1.1669e+06
0.00799246, 0.00169499, 0.0037276, 0.00410192, 94344, 14723, 969240
0.00768357, 0.001601, 0.00344378, 0.00387109, 89290, 14257, 898515
0.00746095, 0.00156368, 0.00320918, 0.00384736, 89760, 13989, 915243
0.0107488, 0.00170553, 0.0040673, 0.00525348, 91695, 14704, 1.20331e+06
